标准编号 	标准名称 										
GB31701-2015 	《婴幼儿及儿童纺织产品安全技术规范》 										
GB18401-2010 	《国家纺织产品基本安全技术规范》 										
GB18383-2007 	《絮用纤维制品通用技术要求》 										
GB5296.4-2012 	《消费品使用说明第四部分：  纺织品和服装》 										
											
生产工艺技术 	定义 										
整烫技术 	整烫技术主要指通过熨烫使床上用品面料得到预缩，消除皱痕，保持面料的平整。整烫关键是针对面料的不同特征，设置不同的温度、压力、										
整烫技术 	整烫技术主要指通过熨烫使床上用品面料得到预缩，消除皱痕，保持面料的平整。整烫关键是针对面料的不同特征，设置不同的温度、压力、										
生产工艺技术 	定义 										
湿度等参数以达到最佳的效果。 											
湿度等参数以达到最佳的效果。 											
染整技术就是对纺织材料(纤维、纱线和织物)进行以化学处理为主的工艺过程。染整包括预处理、染色、印花和整理。 											
染整技术就是对纺织材料(纤维、纱线和织物)进行以化学处理为主的工艺过程。染整包括预处理、染色、印花和整理。 											
面料开发主要包括纤维材料的开发及选型、纺纱技术和织布技术。 											
面料开发主要包括纤维材料的开发及选型、纺纱技术和织布技术。 											
											
染整技术 											
面料开发技术 											
面料开发技术 											
											
模式 	具体内容 										
传统的生产加工模式 	企业自身不具有品牌和销售渠道，主要是根据客户要求进行生产，产品全部返销给客户，主要赚取加工费，其主要竞争力在于规模效益和产品质量。此类企业主要以大部分中小床上用品生产企业为代表。 										
传统的生产加工模式 	企业自身不具有品牌和销售渠道，主要是根据客户要求进行生产，产品全部返销给客户，主要赚取加工费，其主要竞争力在于规模效益和产品质量。此类企业主要以大部分中小床上用品生产企业为代表。 										
品牌代理销售模式 	采用这种模式的企业一般拥有一定规模的销售网络和较为完善的物流配送体系，能在短时间内把产品推向市场，但通常不为代理品牌进行生产加工，通过代理一个或多个床上用品品牌，来获取利润。此类企业分为两种，一种是无自身品牌，也不具有品牌管理和产品研发能力，主要靠赚取代理费或利润分成；另外一种则是拥有自身品牌，同时代理国外知名品牌来不断丰富自身产品系列。 										
品牌代理销售模式 	采用这种模式的企业一般拥有一定规模的销售网络和较为完善的物流配送体系，能在短时间内把产品推向市场，但通常不为代理品牌进行生产加工，通过代理一个或多个床上用品品牌，来获取利润。此类企业分为两种，一种是无自身品牌，也不具有品牌管理和产品研发能力，主要靠赚取代理费或利润分成；另外一种则是拥有自身品牌，同时代理国外知名品牌来不断丰富自身产品系列。 										
自主品牌经营模式 	企业拥有自主品牌，具备品牌运作、产品设计开发、供应链管理和营销网络管理的综合能力，一般通过自主生产、委外生产、定制生产三者相互结合的模式进行产品的设计和生产，以直营、加盟或两者相结合的模式进行产品的销售。此种模式不仅可以控制产品研发设计、产品质量，而且还可以获取零售环节的利润，提高企业对市场的快速反应能力。在当前的市场环境下，采用该经营模式的床上用品企业其获利能力高于行业平均利润水平。 										
自主品牌经营模式 	企业拥有自主品牌，具备品牌运作、产品设计开发、供应链管理和营销网络管理的综合能力，一般通过自主生产、委外生产、定制生产三者相互结合的模式进行产品的设计和生产，以直营、加盟或两者相结合的模式进行产品的销售。此种模式不仅可以控制产品研发设计、产品质量，而且还可以获取零售环节的利润，提高企业对市场的快速反应能力。在当前的市场环境下，采用该经营模式的床上用品企业其获利能力高于行业平均利润水平。 										
											
运营模式 	优势 	劣势 									
经销模式 	公司前期投入少，经营风险小，操作方便，货款回笼快，库存风险低；品牌商借助经销商的销售渠道，可以迅速扩张网点，有效开发市场盲区。 	对企业的终端控制能力、市场反应能力要求高。  									
